date,max_temp,min_temp
2021-08-01,28.1,26.8
2021-08-02,27.2,26.0
2021-08-03,28.3,25.2
2021-08-04,28.0,25.6
2021-08-05,28.5,27.5
2021-08-06,28.5,27.6
2021-08-07,28.2,27.5
2021-08-08,28.8,26.2
2021-08-09,28.3,26.1
2021-08-10,28.6,25.6
2021-08-11,28.5,25.7
2021-08-12,28.2,27.5
2021-08-13,28.0,25.9
2021-08-14,28.4,26.4
2022-08-01,28.5,26.5
2022-08-02,28.1,26.5
2022-08-03,28.8,26.9
2022-08-04,28.5,27.0
2022-08-05,28.5,27.5
2022-08-06,28.9,25.8
2022-08-07,28.4,25.9
2022-08-08,28.8,27.7
2022-08-09,28.5,27.0
2022-08-10,28.9,26.0
2022-08-11,28.5,26.6
2022-08-12,28.7,27.8
2022-08-13,28.5,27.2
2022-08-14,28.5,26.8
2023-08-01,28.8,26.2
2023-08-02,28.9,26.3
2023-08-03,29.5,26.1
2023-08-04,29.6,26.1
2023-08-05,29.8,27.6
2023-08-06,30.1,27.1
2023-08-07,28.9,27.1
2023-08-08,28.8,27.1
2023-08-09,29.0,26.8
2023-08-10,29.7,26.3
2023-08-11,29.9,28.4
2023-08-12,29.9,27.9
2023-08-13,29.9,28.0
2023-08-14,30.2,29.0
2024-08-01,28.6,25.5
2024-08-02,29.3,26.4
2024-08-03,29.2,28.2
2024-08-04,29.9,26.7
2024-08-05,29.4,28.5
2024-08-06,29.1,28.7
2024-08-07,29.5,28.4
2024-08-08,29.4,28.4
2024-08-09,30.0,28.3
2024-08-10,28.6,26.4
2024-08-11,29.3,27.8
2024-08-12,29.5,28.1
2024-08-13,28.9,26.3
2024-08-14,29.9,27.1
2025-08-01,29.1,26.4
2025-08-02,28.9,24.9
2025-08-03,29.0,26.2
2025-08-04,29.4,28.1
2025-08-05,28.8,26.9
2025-08-06,29.4,25.8
2025-08-07,29.4,26.9
2025-08-08,29.2,25.9
2025-08-09,28.5,24.3
2025-08-10,29.2,25.3
2025-08-11,29.8,28.0
2025-08-12,29.6,24.4
2025-08-13,29.8,25.9
2025-08-14,29.5,27.1
